fulfillment_id,order_id,fulfillment_date,warehouse_cost,shipping_cost,customs_clearance_cost,total_fulfillment_cost
FUL-ORD-1379,ORD-1379,2024-10-08,3.28,53.7,11.08,68.06
FUL-ORD-1380,ORD-1380,2024-12-01,4.16,42.88,14.39,61.43000000000001
FUL-ORD-1381,ORD-1381,2024-11-06,3.78,12.23,13.76,29.770000000000003
FUL-ORD-1382,ORD-1382,2024-12-30,3.56,9.8,13.27,26.630000000000003
FUL-ORD-1383,ORD-1383,2024-10-20,4.63,33.01,10.38,48.02
FUL-ORD-1384,ORD-1384,2024-11-25,2.12,37.03,12.65,51.8
FUL-ORD-1385,ORD-1385,2024-11-12,2.57,34.58,0.0,37.15
FUL-ORD-1386,ORD-1386,2024-10-10,4.32,21.47,0.0,25.79
FUL-ORD-1387,ORD-1387,2024-10-23,3.27,14.22,5.55,23.040000000000003
FUL-ORD-1388,ORD-1388,2024-10-17,4.71,40.88,11.46,57.050000000000004
FUL-ORD-1389,ORD-1389,2024-12-25,4.17,33.2,12.79,50.160000000000004
FUL-ORD-1390,ORD-1390,2024-12-26,3.64,37.79,0.0,41.43
FUL-ORD-1391,ORD-1391,2024-10-10,3.35,12.17,10.9,26.42
FUL-ORD-1392,ORD-1392,2024-12-18,4.69,56.42,5.9,67.01
FUL-ORD-1393,ORD-1393,2024-12-15,4.08,57.99,12.96,75.03
FUL-ORD-1394,ORD-1394,2024-10-06,4.2,38.14,0.0,42.34
FUL-ORD-1395,ORD-1395,2024-11-08,3.35,12.39,10.24,25.98
FUL-ORD-1396,ORD-1396,2024-12-21,4.18,60.62,0.0,64.8
FUL-ORD-1397,ORD-1397,2024-11-12,4.85,21.04,8.81,34.7
FUL-ORD-1398,ORD-1398,2024-11-03,4.74,35.63,0.0,40.370000000000005
FUL-ORD-1399,ORD-1399,2024-12-28,4.59,31.63,6.45,42.67
FUL-ORD-1400,ORD-1400,2024-11-16,2.15,22.49,12.3,36.94
FUL-ORD-1401,ORD-1401,2024-11-05,2.87,35.53,0.0,38.4
FUL-ORD-1402,ORD-1402,2024-10-10,4.88,21.2,12.65,38.73
FUL-ORD-1403,ORD-1403,2024-12-06,3.38,53.92,0.0,57.300000000000004
FUL-ORD-1404,ORD-1404,2024-10-16,4.42,20.85,9.93,35.2
FUL-ORD-1406,ORD-1406,2024-12-24,3.77,20.61,9.1,33.48
FUL-ORD-1408,ORD-1408,2024-11-23,3.8,17.4,13.82,35.019999999999996
FUL-ORD-1409,ORD-1409,2024-10-03,3.86,29.38,0.0,33.24
FUL-ORD-1411,ORD-1411,2024-10-05,2.15,39.59,11.53,53.27
FUL-ORD-1412,ORD-1412,2024-12-27,2.44,23.91,10.78,37.13
FUL-ORD-1414,ORD-1414,2024-12-08,2.9,40.23,5.49,48.62
FUL-ORD-1415,ORD-1415,2024-12-23,4.98,30.32,0.0,35.3
FUL-ORD-1416,ORD-1416,2024-11-10,3.83,24.9,10.95,39.67999999999999
FUL-ORD-1417,ORD-1417,2024-10-13,2.53,15.86,0.0,18.39
FUL-ORD-1418,ORD-1418,2024-12-01,3.08,21.56,0.0,24.64
FUL-ORD-1420,ORD-1420,2024-10-20,2.97,44.45,0.0,47.42
FUL-ORD-1421,ORD-1421,2024-10-25,4.28,16.15,5.65,26.08
FUL-ORD-1422,ORD-1422,2024-10-20,2.4,16.7,0.0,19.099999999999998
FUL-ORD-1423,ORD-1423,2024-11-18,2.99,44.69,7.1,54.78
FUL-ORD-1424,ORD-1424,2024-10-12,3.84,37.17,12.3,53.31
FUL-ORD-1425,ORD-1425,2024-11-15,3.59,34.02,12.24,49.85
FUL-ORD-1426,ORD-1426,2024-10-07,4.8,26.11,7.87,38.78
FUL-ORD-1428,ORD-1428,2024-12-04,4.54,31.41,0.0,35.95
FUL-ORD-1429,ORD-1429,2024-11-04,4.99,38.26,6.3,49.55
FUL-ORD-1430,ORD-1430,2024-12-10,3.49,28.47,9.98,41.94
FUL-ORD-1432,ORD-1432,2024-12-08,4.65,12.13,7.9,24.68
FUL-ORD-1434,ORD-1434,2024-11-20,2.0,14.83,11.25,28.08
FUL-ORD-1435,ORD-1435,2024-12-31,4.21,40.89,11.15,56.25
FUL-ORD-1436,ORD-1436,2024-12-15,3.24,29.05,10.6,42.89
FUL-ORD-1438,ORD-1438,2024-10-28,2.64,13.25,11.9,27.79
FUL-ORD-1440,ORD-1440,2024-11-22,4.37,35.52,10.07,49.96
FUL-ORD-1441,ORD-1441,2024-12-23,4.3,15.27,8.33,27.9
FUL-ORD-1443,ORD-1443,2024-12-14,4.17,18.28,5.29,27.740000000000002
FUL-ORD-1444,ORD-1444,2024-12-20,2.58,27.12,14.22,43.92
FUL-ORD-1445,ORD-1445,2024-11-17,4.75,49.23,0.0,53.98
FUL-ORD-1446,ORD-1446,2024-11-14,2.41,19.88,0.0,22.29
FUL-ORD-1447,ORD-1447,2024-10-03,4.68,46.22,8.35,59.25
FUL-ORD-1448,ORD-1448,2024-11-21,4.78,12.84,10.21,27.830000000000002
FUL-ORD-1451,ORD-1451,2024-12-02,4.17,14.78,10.36,29.31
FUL-ORD-1452,ORD-1452,2024-10-29,3.73,33.36,14.16,51.25
FUL-ORD-1453,ORD-1453,2024-10-15,2.2,10.04,13.41,25.65
FUL-ORD-1454,ORD-1454,2024-10-15,4.95,14.76,13.42,33.13
FUL-ORD-1455,ORD-1455,2024-12-22,3.82,34.93,0.0,38.75
FUL-ORD-1456,ORD-1456,2024-12-26,4.59,51.13,12.05,67.77
FUL-ORD-1457,ORD-1457,2024-11-28,4.13,28.84,5.87,38.839999999999996
FUL-ORD-1458,ORD-1458,2024-12-31,3.11,56.86,0.0,59.97
FUL-ORD-1459,ORD-1459,2024-12-11,2.65,29.65,6.12,38.419999999999995
FUL-ORD-1460,ORD-1460,2024-11-09,4.33,17.88,9.44,31.65
FUL-ORD-1461,ORD-1461,2024-10-24,4.4,18.09,0.0,22.490000000000002
FUL-ORD-1462,ORD-1462,2024-12-30,2.57,27.61,12.32,42.5
FUL-ORD-1464,ORD-1464,2024-10-03,2.93,13.25,12.69,28.869999999999997
FUL-ORD-1465,ORD-1465,2024-12-13,4.47,39.62,11.77,55.86
FUL-ORD-1466,ORD-1466,2024-11-09,2.62,19.45,8.88,30.950000000000003
FUL-ORD-1468,ORD-1468,2024-11-13,2.35,41.54,0.0,43.89
FUL-ORD-1469,ORD-1469,2024-11-10,4.06,51.21,5.87,61.14
FUL-ORD-1470,ORD-1470,2024-11-11,4.67,31.39,12.66,48.72
FUL-ORD-1473,ORD-1473,2024-12-14,2.94,20.75,0.0,23.69
FUL-ORD-1474,ORD-1474,2024-11-17,3.92,30.28,0.0,34.2
FUL-ORD-1475,ORD-1475,2024-10-06,2.58,29.74,8.19,40.51
FUL-ORD-1476,ORD-1476,2024-10-22,4.01,18.97,0.0,22.979999999999997
FUL-ORD-1477,ORD-1477,2024-10-24,2.82,27.2,11.23,41.25
FUL-ORD-1478,ORD-1478,2024-11-06,2.31,29.58,10.49,42.379999999999995
FUL-ORD-1479,ORD-1479,2024-10-25,2.42,42.43,0.0,44.85
FUL-ORD-1480,ORD-1480,2024-11-07,3.72,15.64,8.11,27.47
FUL-ORD-1481,ORD-1481,2024-12-09,3.62,25.17,5.29,34.080000000000005
FUL-ORD-1483,ORD-1483,2024-11-05,2.15,15.07,5.86,23.08
FUL-ORD-1484,ORD-1484,2024-10-11,2.54,39.03,10.93,52.5
FUL-ORD-1485,ORD-1485,2024-12-25,4.1,27.03,0.0,31.130000000000003
FUL-ORD-1486,ORD-1486,2024-12-16,3.0,39.28,12.58,54.86
FUL-ORD-1487,ORD-1487,2024-12-06,2.24,26.36,0.0,28.6
FUL-ORD-1488,ORD-1488,2024-11-06,3.7,28.82,13.02,45.540000000000006
FUL-ORD-1489,ORD-1489,2024-11-01,3.4,24.31,11.84,39.55
FUL-ORD-1490,ORD-1490,2024-11-30,4.3,28.45,14.47,47.22
FUL-ORD-1491,ORD-1491,2024-10-18,4.58,47.46,14.13,66.17
FUL-ORD-1493,ORD-1493,2024-10-26,2.55,27.24,8.3,38.09
FUL-ORD-1494,ORD-1494,2024-11-29,3.36,22.63,9.75,35.739999999999995
FUL-ORD-1495,ORD-1495,2024-10-14,3.44,57.03,7.82,68.28999999999999
FUL-ORD-1496,ORD-1496,2024-10-08,3.81,32.78,6.03,42.620000000000005
FUL-ORD-1497,ORD-1497,2024-10-05,4.39,20.52,11.49,36.4
FUL-ORD-1498,ORD-1498,2024-12-06,3.6,45.56,0.0,49.160000000000004
